ID товара,Наименование,Цена,Город,Промо цена,Ссылка
3433311,Чипсы DrKorner цельнозерновые кукурузно-рисовые с сыром начо 50г,"49,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433311/
3433306,Хлебцы Jr Korner мини хрустящие рисовые с бананом 30г,"34,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433306/
3286042,Орехи Семушка пекан 110г,369 ₽,Москва и Московская область,278 ₽,https://www.detmir.ru/product/index/id/3286042/
3286842,Хлебцы Take a Bite хрустящие рисовые с морковью и томатом 150г,"138,90 ₽",Москва и Московская область,125 ₽,https://www.detmir.ru/product/index/id/3286842/
3286086,Батончик Леовит Фрутончик со злаками яблоко-морковь-овсянка 20г,"42,90 ₽",Москва и Московская область,"20,90 ₽",https://www.detmir.ru/product/index/id/3286086/
3430120,Батончик Берёж злаковый с отрубями яблоко-шоколад 42г,"33,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3430120/
3459516,Орех Bionergy кедровый очищенный 500г,1 809 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3459516/
3422276,Батончик ОлЛайт шоколад-апельсин 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422276/
3415081,Батончик Биокей с клубникой и цельными злаками 25г,"28,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3415081/
3480270,Батончик SOJ фруктово-ореховый со вкусом манго миндаль-кешью-манго 40г,"102,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3480270/
3433305,Хлебцы Jr Korner мини хрустящие рисовые с яблочным соком 30г,"34,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433305/
3433298,Хлебцы DrKorner кукурузно-рисовые с прованскими травами без глютена 100г,"91,50 ₽",Москва и Московская область,80 ₽,https://www.detmir.ru/product/index/id/3433298/
3286030,Орехи Семушка смесь орехов с клюквой 120г,"197,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3286030/
3728590,Набор с игрушкой Bob Snail Ролл фруктовый 20г,"194,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3728590/
3480618,Ядра Nutvill арахиса сырые 500г,317 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3480618/
3277089,Снеки Зеленика сушеное фруктовое ассорти 20г,"186,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3277089/
3480268,Батончик SOJ фруктово-ореховый со вкусом вишни миндаль-кешью-вишня 40г,"102,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3480268/
3335271,Батончик ПП мюсли манго в йогуртовой глазури 30г,"39,90 ₽",Москва и Московская область,"27,90 ₽",https://www.detmir.ru/product/index/id/3335271/
3286818,Батончик Take a Bite Интеллект орехово-фруктовый миндаль-яблоко-корица 45г,"113,30 ₽",Москва и Московская область,"79,90 ₽",https://www.detmir.ru/product/index/id/3286818/
3433310,Чипсы DrKorner цельнозерновые кукурузно-рисовые с сыром 50г,"54,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3433310/
3286057,Сухофрукт Семушка манго сушеный 80г,219 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3286057/
3286840,Хлебцы Take a Bite хрустящие кукурузно-рисовые с морской солью 150г,"138,90 ₽",Москва и Московская область,125 ₽,https://www.detmir.ru/product/index/id/3286840/
3430121,Батончик SIBERRYA Литра злаковый 35г,"43,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3430121/
3310318,Батончик Bombbar Кето со вкусом миндальной нуги и ванилью 40г,"94,90 ₽",Москва и Московская область,80 ₽,https://www.detmir.ru/product/index/id/3310318/
3422273,Батончик ОлЛайт лимонный 30г,"44,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3422273/
3430124,Батончик SIBERRYA Физкульт злаковый 35г,"43,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3430124/
3689547,Батончик-мюсли Леовит Мой лайк для иммунитета арония 25г,"16,90 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3689547/
3415082,Батончик Биокей с кокосом и цельными злаками 25г,"27,50 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3415082/
3480611,Ядра Nutvill фундука сырые 130г,281 ₽,Москва и Московская область,,https://www.detmir.ru/product/index/id/3480611/
3506028,Чипсы Сибуки морская капуста Стантарт 17г,"187,30 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3506028/
3277209,Батончик R.A.W.LIFE орехово-фруктовый малина-лайм 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277209/
3289442,Хлебцы DiDi амарантовые без глютена 195г,"118,30 ₽",Москва и Московская область,,https://www.detmir.ru/product/index/id/3289442/
3277211,Батончик R.A.W.LIFE орехово-фруктовый грецкий орех-кэроб 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277211/
3277208,Батончик R.A.W.LIFE орехово-фруктовый лесные ягоды 47г,"155,90 ₽",Москва и Московская область,114 ₽,https://www.detmir.ru/product/index/id/3277208/
